Player,Team,conf,Pos,NewTeam,NewConf,G,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,2P,2PA,2P%,eFG%,FTM,FTA,FT%,OREB,DREB,TRB,AST,STL,BLK,TO,PF,PTS,FantasyPts,ConfStrength,PlayerType
Yvonne Ejim,Gonzaga,WCC,F,,,35.0,35.0,31.2,280.0,528.5,0.5,10.5,45.5,0.3,7.7,13.8,0.6,0.5,150.5,192.5,0.8,112.0,213.5,9.3,87.5,45.5,35.0,105.0,2.9,724.5,1588.0,0,Returner
Freja Werth,San Francisco,WCC,G,,,31.0,31.0,35.0,170.5,415.4,0.4,65.1,179.8,0.4,3.4,7.6,0.4,0.5,124.0,145.7,0.9,37.2,151.9,6.1,46.5,40.3,12.4,80.6,2.7,530.1,845.0,0,Returner
Emme Shearer,Portland,WCC,G,,,36.0,36.0,29.8,205.2,424.8,0.5,50.4,140.4,0.4,4.3,7.9,0.5,0.5,144.0,162.0,0.9,50.4,104.4,4.2,97.2,72.0,18.0,86.4,2.7,601.2,1216.0,0,Returner
Maisie Burnham,Portland,WCC,G,,,36.0,36.0,29.4,187.2,410.4,0.5,43.2,118.8,0.4,4.0,8.2,0.5,0.5,172.8,205.2,0.8,68.4,118.8,5.1,93.6,57.6,14.4,90.0,3.3,586.8,1129.0,0,Returner
Olivia Pollerd,Santa Clara,WCC,F,,,30.0,30.0,36.2,189.0,459.0,0.4,54.0,171.0,0.3,4.5,9.6,0.5,0.5,48.0,60.0,0.8,33.0,162.0,6.5,69.0,21.0,54.0,78.0,2.1,480.0,978.0,0,Returner
Naudia Evans,Loyola Marymount,WCC,G,,,30.0,30.0,36.8,162.0,492.0,0.3,45.0,165.0,0.3,3.9,10.9,0.4,0.4,105.0,132.0,0.8,18.0,141.0,5.2,177.0,48.0,6.0,108.0,1.5,477.0,994.0,0,Returner
Elizabeth Elliott,Pacific,WCC,C,,,30.0,29.0,26.8,165.0,285.0,0.6,0.0,0.0,,5.5,9.5,0.6,0.6,96.0,147.0,0.6,81.0,111.0,6.4,33.0,27.0,9.0,84.0,3.2,426.0,798.0,0,Returner
Liz Smith,Pacific,WCC,G,,,34.0,34.0,34.6,153.0,391.0,0.4,51.0,166.6,0.3,3.0,6.6,0.5,0.5,125.8,156.4,0.8,10.2,112.2,3.6,119.0,85.0,3.4,91.8,2.4,479.4,1009.0,0,Returner
Eleonora Villa,Washington State,WCC,G,,,34.0,34.0,32.9,187.0,425.0,0.4,44.2,136.0,0.3,4.2,8.5,0.5,0.5,44.2,57.8,0.8,27.2,74.8,3.0,88.4,30.6,6.8,71.4,1.5,462.4,747.0,0,Returner
Allie Turner,Gonzaga,WCC,G,,,35.0,32.0,32.7,164.5,360.5,0.5,105.0,231.0,0.5,1.7,3.7,0.5,0.6,31.5,38.5,0.9,10.5,105.0,3.3,126.0,24.5,17.5,94.5,1.5,469.0,878.0,0,Returner
Brandi Williams,Loyola Marymount,WCC,G,,,29.0,29.0,36.4,113.1,298.7,0.4,63.8,182.7,0.4,1.7,4.0,0.4,0.5,84.1,101.5,0.8,26.1,84.1,3.8,34.8,34.8,0.0,46.4,2.5,374.1,506.0,0,Returner
Kelsey Rees,Oregon State,WCC,F,,,35.0,33.0,31.9,150.5,357.0,0.4,31.5,94.5,0.3,3.4,7.5,0.4,0.5,122.5,147.0,0.8,91.0,178.5,7.7,56.0,14.0,24.5,73.5,2.1,451.5,927.0,0,Returner
Debora Dos Santos,San Francisco,WCC,F,,,14.0,14.0,25.4,70.0,135.8,0.5,5.6,15.4,0.4,4.6,8.6,0.5,0.5,35.0,54.6,0.6,37.8,70.0,7.7,18.2,21.0,22.4,35.0,2.5,180.6,489.0,0,Returner
