,#,FULL NAME,HOMETOWN,HIGH SCHOOL,PREVIOUS SCHOOL,HT.,POS.,ACADEMIC YEAR
0,1,Paige Lofing,"Billings, MT",Huntley Project HS,,5-9,G,Fr.
1,2,Vera Gunaydin,"Ankara, Turkey",,South Georgia Tech,5-9,G,Sr.
2,3,Julia Wilson,"Temecula, CA",Rancho Christian HS,,5-10,G,Fr.
3,4,Sierra Lichtie,"Riverton, UT",,Cal Poly,6-0,F,Gr.
4,8,Inês Bettencourt,"Sao Miguel, Portugal",,UConn,5-9,G,Sr.
5,11,Allie Turner,"St. Louis, MO",John Burroughs HS,,5-8,G,So.
6,12,Christabel Osarobo,"Tudela, Spain",Ipswich Basketball Academy,,5-11,G,So.
7,20,Taylor Smith,"Pocatello, ID",,Weber State,6-2,F,Jr.
8,22,McKynnlie Dalan,"Montesano, WA",,Minnesota,6-0,F,Jr.
9,23,Jaiden Haile,"Fargo, ND",West Fargo Horace HS,,6-2,F,Fr.
10,24,Teryn Gardner,"Spokane, WA",,Boise State,5-10,G,So.
11,33,Lauren Whittaker,"Canterbury, New Zealand",,,6-3,F,R-Fr.
12,55,Zeryhia Aokuso,"Amarillo, TX",,Saint Mary's,5-10,G,Jr.
