#,FULL NAME,HOMETOWN,HIGH SCHOOL,PREVIOUS SCHOOL,HT.,POS.,ACADEMIC YEAR,ImageURL
1,Paige Lofing,"Billings, MT",Huntley Project HS,,5-9,G,Fr.,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/paige_lofing-2059.JPG?width=80&quality=90
2,Vera Gunaydin,"Ankara, Turkey",,South Georgia Tech,5-9,G,Sr.,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/vera_gunaydin-7778.JPG?width=80&quality=90
3,Julia Wilson,"Temecula, CA",Rancho Christian HS,,5-10,G,Fr.,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/julia_wilson-7070.JPG?width=80&quality=90
4,Sierra Lichtie,"Riverton, UT",,Cal Poly,6-0,F,Gr.,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/sierra_lichtie-8103.JPG?width=80&quality=90
8,Inês Bettencourt,"Sao Miguel, Portugal",,UConn,5-9,G,Sr.,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/ines_bettencourt-6446.JPG?width=80&quality=90
11,Allie Turner,"St. Louis, MO",John Burroughs HS,,5-8,G,So.,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/new_allie_pic.JPG?width=80&quality=90
12,Christabel Osarobo,"Tudela, Spain",Ipswich Basketball Academy,,5-11,G,So.,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/christabel_osarobo-7880-3.JPG?width=80&quality=90
20,Taylor Smith,"Pocatello, ID",,Weber State,6-2,F,Jr.,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/taylor_smith-1502.JPG?width=80&quality=90
22,McKynnlie Dalan,"Montesano, WA",,Minnesota,6-0,F,Jr.,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/mckynnlie_dalan.JPG?width=80&quality=90
23,Jaiden Haile,"Fargo, ND",West Fargo Horace HS,,6-2,F,Fr.,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/jaiden_haile.JPG?width=80&quality=90
24,Teryn Gardner,"Spokane, WA",,Boise State,5-10,G,So.,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/teryn_gardner-7278.JPG?width=80&quality=90
33,Lauren Whittaker,"Canterbury, New Zealand",,,6-3,F,R-Fr.,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/lauren_whittaker-1119.JPG?width=80&quality=90
55,Zeryhia Aokuso,"Amarillo, TX",,Saint Mary's,5-10,G,Jr.,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/zerhyia_aokuso-7494.JPG?width=80&quality=90
