"#","FULL NAME","Pos.","Ht.","Year","Hometown"
"0","Tiara Bolden","Guard","5' 11''","Gr.","Eugene, Ore."
"1","Kennedie Shuler","Guard","5' 10''","Jr.","Gresham, Ore."
"2","Katelyn Field","Guard","5' 11''","Fr.","Melbourne, Australia"
"3","Jenna Villa","Guard","6' 1''","Jr.","Arlington, Wash."
"4","Ally Schimel","Guard","5' 10''","So.","Corbett, Ore."
"7","Lucia Navarro","Guard","6' 0''","Jr.","Valencia, Spain"
"10","Susana Yepes","Forward","6' 0''","R-Sr.","Medellin, Colombia"
"12","Mackenzie Shivers","Guard","5' 6''","R-Jr.","Mesa, Ariz."
"15","Lizzy Williamson","Forward","6' 5''","Gr.","Adelaide, Australia"
"16","Elisa Mehyar","Forward","6' 5''","So.","Copenhagen, Denmark"
"22","Lara Alonso-Basurto","Forward","6' 3''","Fr.","Madrid, Spain"
"25","Keira Lindemans","Guard","6' 0''","Fr.","Melbourne, Australia"
"30","Catarina Ferreira","Guard","6' 0''","Gr.","Sao Paulo, Brazil"
"31","Cloe Vecina","Guard","5' 8''","So.","Vigo, Spain"
"32","Néné Sow","Center","6' 8''","R-Sr.","Brussels, Belgium"
