"#","FULL NAME","Pos.","Ht.","Year","Exp.","Hometown","High School","Previous School"
"0","Ivory Finley ","G","5-10","Gr.","TR","Minneapolis, Minn. ","Rosemount High School ","Utah State"
"1","Taija Sta. Maria","G","5-6","Jr.","TR","Toronto, Ontario, Canada","Crestwood Prepatory College","Fresno State"
"2","Ellison Guiney","G","5-11","So.","TR","Goodyear, Ariz.","Millennium High School","UNLV"
"3","Bella Green","G","6-0","Gr.","TR","Perth, Australia ","Shenton College ","University of West Florida "
"10","Ilinca Belegante","G","6-0","Fr.","HS","Bucharest, Romania ","Colegiul National ""Mihai Viteazul’’",""
"11","Quinn VanSickle","G","5-8","Fr.","HS","Castle Rock, Colo.","Valor Christian High School",""
"12","Shorna Preston","F","6-1","Jr.","TR","Christchurch, New Zealand","Hillcrest Christian College","Dodge City Community College"
"13","Meghan Fiso","G","5-10","Gr.","TR","Seattle, Wash.","Garfield HS","San Diego State "
"22","Lina Falk","G","6-2","Jr.","TR","Wolfenbüttel, Germany","Große Schule Wolfenbüttel ","Sacramento State "
"30","Seleh Harmon","G","5-10","Fr.","HS","Norman, Okla. ","Norman North HS",""
"31","Irune Orio","F","6-2","Sr.","TR","Balmaseda, Spain ","IES Balmaseda BHI","Sacramento State / Xavier"
"44","Zoe Shanahan ","F","6-2","Fr.","HS","Melbourne, Australia ","Rowville Secondary College ",""
