"# Jersey Number","FULL NAME","Pos. ","Year ","Hometown ","High School ","Previous School ","Major ","Connect"
"3","Ella Brubaker","Guard","Graduate Student","University Place, Wash.","Curtis HS","The Master's / Pepperdine","",""
"4","Fia Proctor","Forward","Sophomore","Bothell, Wash.","Bothell HS","Wyoming","",""
"5","Dylan Mogel","Guard","Freshman","Clackamas, Ore.","Clackamas HS","","",""
"6","Andjela Bigovic","Forward","Graduate Student","Herceg Novi, Montenegro","Gimnazija Cetinje","Cochise College / Tarleton State","",""
"7","Lucija Milkovic","Center","Junior","Sibenik, Croatia","Sibenik Medical School","Missouri","",""
"8","Chloe Emanga","Guard","Freshman","Marbach Am Neckar, Germany","","BasCats USC Heidelberg","",""
"9","Jana Vesic","Guard","Freshman","Belgrade, Serbia","Central Pointe Christian Academy","","",""
"14","Tamia Stricklin","Forward","Redshirt Senior","Renton, WA","Seattle Prep","Fresno State","Interdisciplinary Liberal Studies","Tamia Stricklin INFLCR Opens in a new window "
"21","Aaliyah Ibarra","Guard","Senior","Las Vegas, Nev.","Centennial HS","Utah Tech","",""
"22","Lucy Larson","Guard","Sophomore","Seattle, WA","West Seattle HS","","Pre-Major","Lucy Larson INFLCR Opens in a new window "
"24","Sydnie Rodriguez","Guard","Sophomore","Boise, ID","Owhyee HS","","Kinesiology","Sydnie Rodriguez INFLCR Opens in a new window "
