Rk,Player,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Yvonne Ejim,Gonzaga,F,35,35,31.2,8.0,15.1,.531,0.3,1.3,.255,7.7,13.8,.558,.543,4.3,5.5,.784,3.2,6.1,9.3,2.5,1.3,1.0,3.0,2.9,20.7,,yvonne-ejim-1
2,Freja Werth,San Francisco,G,31,31,35.0,5.5,13.4,.410,2.1,5.8,.361,3.4,7.6,.447,.488,4.0,4.7,.856,1.2,4.9,6.1,1.5,1.3,0.4,2.6,2.7,17.1,,freja-werth-1
3,Emme Shearer,Portland,G,36,36,29.8,5.7,11.8,.480,1.4,3.9,.352,4.3,7.9,.544,.539,4.0,4.5,.883,1.4,2.9,4.2,2.7,2.0,0.5,2.4,2.7,16.7,,emme-shearer-1
4,Maisie Burnham,Portland,G,36,36,29.4,5.2,11.4,.451,1.2,3.3,.368,4.0,8.2,.485,.504,4.8,5.7,.840,1.9,3.3,5.1,2.6,1.6,0.4,2.5,3.3,16.3,,maisie-burnham-1
5,Olivia Pollerd,Santa Clara,F,30,30,36.2,6.3,15.3,.413,1.8,5.7,.316,4.5,9.6,.471,.472,1.6,2.0,.770,1.1,5.4,6.5,2.3,0.7,1.8,2.6,2.1,16.0,,olivia-pollerd-1
6,Naudia Evans,Loyola Marymount,G,30,30,36.8,5.4,16.4,.330,1.5,5.5,.280,3.9,10.9,.355,.377,3.5,4.4,.797,0.6,4.7,5.2,5.9,1.6,0.2,3.6,1.5,15.9,,naudia-evans-1
7,Elizabeth Elliott,Pacific,C,30,29,26.8,5.5,9.5,.585,0.0,0.0,,5.5,9.5,.585,.585,3.2,4.9,.646,2.7,3.7,6.4,1.1,0.9,0.3,2.8,3.2,14.2,,elizabeth-elliott-1
8,Liz Smith,Pacific,G,34,34,34.6,4.5,11.5,.389,1.5,4.9,.303,3.0,6.6,.451,.453,3.7,4.6,.796,0.3,3.3,3.6,3.5,2.5,0.1,2.7,2.4,14.1,,liz-smith-2
9,Eleonora Villa,Washington State,G,34,34,32.9,5.5,12.5,.442,1.3,4.0,.321,4.2,8.5,.500,.494,1.3,1.7,.759,0.8,2.2,3.0,2.6,0.9,0.2,2.1,1.5,13.6,,eleanora-villa-1
10,Allie Turner,Gonzaga,G,35,32,32.7,4.7,10.3,.461,3.0,6.6,.457,1.7,3.7,.469,.607,0.9,1.1,.868,0.3,3.0,3.3,3.6,0.7,0.5,2.7,1.5,13.4,,allie-turner-2
11,Brandi Williams,Loyola Marymount,G,29,29,36.4,3.9,10.3,.380,2.2,6.3,.350,1.7,4.0,.427,.487,2.9,3.5,.822,0.9,2.9,3.8,1.2,1.2,0.0,1.6,2.5,12.9,,brandi-williams-1
12,Kelsey Rees,Oregon State,F,35,33,31.9,4.3,10.2,.417,0.9,2.7,.326,3.4,7.5,.450,.461,3.5,4.2,.829,2.6,5.1,7.7,1.6,0.4,0.7,2.1,2.1,12.9,,kelsey-rees-1
13,Debora Dos Santos,San Francisco,F,14,14,25.4,5.0,9.7,.515,0.4,1.1,.400,4.6,8.6,.529,.537,2.5,3.9,.636,2.7,5.0,7.7,1.3,1.5,1.6,2.5,2.5,12.9,,debora-dos-santos-1
